Nominal Size (in),Customary Size US,Outer Diameter (in),Nominal Linear Mass (lb/ft),Wall Thickness (in),Inside Diameter (in),Drift Diameter (in),Plain end (lb/ft),"em, Round thread, Short","em, Round thread, Long","em, Buttress thread, RC","em, Buttress thread, SCC"
4/1/2002,9.5,4.5,9.5,0.205,4.09,3.965,9.41,4.2,-,-,-
4/1/2002,10.5,4.5,10.5,0.224,4.052,3.927,10.24,3.8,-,5,2.56
4/1/2002,11.6,4.5,11.6,0.25,4,3.875,11.36,3.4,3.8,4.6,2.16
4/1/2002,13.5,4.5,13.5,0.29,3.92,3.795,13.05,-,3.2,4,1.56
4/1/2002,15.1,4.5,15.1,0.337,3.826,3.701,15,-,2.8,3.2,0.76
5,11.5,5,11.5,0.22,4.56,4.435,11.24,5.4,-,-,-
5,13,5,13,0.253,4.494,4.369,12.84,4.8,5.8,6.6,2.42
5,15,5,15,0.296,4.408,4.283,14.88,4.2,5.2,5.8,1.62
5,18,5,18,0.362,4.276,4.151,17.95,-,4.2,4.4,0.22
5,21.4,5,21.4,0.437,4.126,4.001,21.32,-,2.95,2.46,-1.72
5,23.2,5,23.2,0.478,4.044,3.919,23.11,-,2.3,2.05,-2.09
5,24.1,5,24.1,0.5,4,3.875,24.05,-,1.95,1.24,-2.94
5/1/2002,14,5.5,14,0.244,5.012,4.887,13.71,5.4,-,-,-
5/1/2002,15.5,5.5,15.5,0.275,4.95,4.825,15.36,4.8,5.8,6.4,2.1
5/1/2002,17,5.5,17,0.304,4.892,4.767,16.89,4.4,5.4,5.8,1.5
5/1/2002,20,5.5,20,0.361,4.778,4.653,19.83,-,4.4,4.6,0.3
5/1/2002,23,5.5,23,0.415,4.67,4.545,22.56,-,3.2,3.4,-0.9
5/1/2002,26.8,5.5,26.8,0.5,4.5,4.375,26.72,-,-,-,-
5/1/2002,29.7,5.5,29.7,0.562,4.376,4.251,29.67,-,-,-,-
5/1/2002,32.6,5.5,32.6,625,4.25,4.125,32.57,-,-,-,-
5/1/2002,35.3,5.5,35.3,0.687,4.126,4.001,35.35,-,-,-,-
5/1/2002,38,5.5,38,0.75,4,3.875,38.08,-,-,-,-
5/1/2002,40.5,5.5,40.5,0.812,3.876,3.751,40.69,-,-,-,-
5/1/2002,43.1,5.5,43.1,0.875,3.75,3.625,43.26,-,-,-,-
6/5/2008,20,6.625,20,0.288,6.049,5.924,19.51,11,13.6,14.4,2.38
6/5/2008,24,6.625,24,0.352,5.921,5.796,23.6,9.6,12,12.6,0.58
6/5/2008,28,6.625,28,0.417,5.791,5.666,27.67,-,10.2,10.6,-1.42
6/5/2008,32,6.625,32,0.475,5.675,5.55,31.23,-,8.8,9,-3.02
7,17,7,17,0.231,6.538,6.413,16.72,10,-,-,-
7,20,7,20,0.272,6.456,6.331,19.56,9.4,-,-,-
7,23,7,23,0.317,6.366,6.25,22.65,8,10.4,11,1.6
7,23,7,23,0.317,6.366,6.241,22.65,8,10.4,11,1.6
7,26,7,26,0.362,6.276,6.151,25.69,7.2,9.4,9.6,0.2
7,29,7,29,0.408,6.184,6.059,28.75,-,8,8.2,-1.2
